folio,plan,plazos,precio,anticipo,semanal,total,pagado,pagoMontoFijado,pagoMontoCorriente,pagoMontoRecibido
368,nuevo,26,5799.0,999.0,350.77,10119.0,27,10119.0,10119.0,999.0
369,nuevo,35,5799.0,1350.0,266.94,10692.9,36,10692.9,10692.9,1350.0
372,nuevo,35,3999.0,499.0,210.0,7849.0,36,7849.0,7849.0,499.0
375,nuevo,43,7199.0,499.0,264.88,11889.0,44,11889.0,11889.0,499.0
378,nuevo,15,3999.0,799.0,320.0,5599.0,16,5599.0,5599.0,799.0
379,nuevo,26,6399.0,1499.0,301.54,9339.0,27,9339.0,9339.0,1499.0
380,nuevo,35,6699.0,999.0,268.71,10404.0,36,10404.0,10404.0,999.0
382,nuevo,43,5799.0,300.0,217.4,9648.3,44,9648.300000000001,9648.300000000001,300.0
383,nuevo,20,6599.0,0.0,329.95,6599.0,21,6599.0,6599.0,0.0
384,nuevo,35,3999.0,499.0,165.0,6274.0,36,6274.0,6274.0,499.0
385,nuevo,35,7199.0,1499.0,268.71,10904.0,36,10904.0,10904.0,1499.0
386,nuevo,35,24500.0,6000.0,1110.0,44850.0,36,44850.0,44850.0,6000.0
389,nuevo,15,5799.0,1499.0,430.0,7949.0,16,7949.0,7949.0,1499.0
390,nuevo,15,7199.0,1999.0,520.0,9799.0,16,9799.0,9799.0,1999.0
392,nuevo,15,3999.0,799.0,320.0,5599.0,16,5599.0,5599.0,799.0
394,nuevo,43,3999.0,499.0,138.37,6449.0,44,6449.0,6449.0,499.0
395,nuevo,26,3999.0,799.0,233.85,6879.0,27,6879.0,6879.0,799.0
396,nuevo,35,7199.0,1499.0,268.71,10904.0,36,10904.0,10904.0,1499.0
397,nuevo,20,6700.0,810.0,294.5,6700.0,21,6700.0,6700.0,810.0
399,nuevo,26,7199.0,1499.0,350.77,10619.0,27,10619.0,10619.0,1499.0
400,nuevo,15,5199.0,1000.0,419.9,7298.5,16,7298.5,7298.5,1000.0
401,nuevo,20,9299.0,0.0,464.95,9299.0,21,9299.0,9299.0,0.0
403,nuevo,42,6799.0,999.0,262.38,12019.0,43,12019.0,12019.0,999.0
404,nuevo,26,7599.0,1499.0,398.85,11869.0,27,11869.0,11869.0,1499.0
405,nuevo,15,6299.0,1500.0,479.9,8698.5,16,8698.5,8698.5,1500.0
406,nuevo,26,6599.0,1249.0,349.81,10344.0,27,10344.0,10344.0,1249.0
407,nuevo,20,6000.0,1000.0,250.0,6000.0,21,6000.0,6000.0,1000.0
408,nuevo,10,2500.0,0.0,250.0,2500.0,11,2500.0,2500.0,0.0
409,nuevo,26,5499.0,999.0,294.23,8649.0,27,8649.0,8649.0,999.0
414,nuevo,20,7200.0,1800.0,270.0,7200.0,21,7200.0,7200.0,1800.0
417,nuevo,20,3999.0,749.0,162.5,3999.0,21,3999.0,3999.0,749.0
418,nuevo,15,8499.0,2499.0,600.0,11499.0,16,11499.0,11499.0,2499.0
419,nuevo,26,5499.0,499.0,326.92,8999.0,27,8999.0,8999.0,499.0
420,nuevo,35,6999.0,0.0,299.96,10498.5,36,10498.5,10498.5,0.0
421,nuevo,43,8999.0,1999.0,309.3,15299.0,44,15299.0,15299.0,1999.0
422,nuevo,15,6599.0,999.0,560.0,9399.0,16,9399.0,9399.0,999.0
423,nuevo,15,6599.0,999.0,560.0,9399.0,16,9399.0,9399.0,999.0
424,nuevo,26,5799.0,1249.0,297.5,8984.0,27,8984.0,8984.0,1249.0
425,nuevo,26,8799.0,1500.0,489.03,14214.86,27,14214.859999999999,14214.859999999999,1500.0
426,nuevo,26,7699.0,0.0,350.01,9100.22,27,9100.22,9100.22,0.0
427,nuevo,26,8799.0,0.0,492.01,12791.99,1,12791.99,0.0,0.0
430,nuevo,43,3799.0,799.0,160.47,7699.02,13,7697.71,2724.64,2565.48
431,nuevo,43,3799.0,799.0,160.47,7699.02,12,7698.87,2564.17,2403.85
443,nuevo,35,3799.0,799.0,180.0,7099.03,9,7099.03,2239.0,2239.0
444,nuevo,35,3799.0,799.0,180.0,7099.03,3,7099.03,1159.0,1159.0
445,renovacion,26,5799.0,0.0,356.86,9278.4,10,9278.4,3211.7400000000002,3211.7400000000002
458,nuevo,20,4299.0,999.0,165.0,4299.0,2,4299.0,1164.0,999.0
460,nuevo,35,6199.0,999.0,312.0,11919.0,2,11919.0,1311.0,999.0
461,nuevo,20,8399.0,1000.0,369.95,8399.0,7,8398.699999999999,3219.7,1000.0
462,nuevo,15,3999.0,799.0,320.0,5599.0,2,5599.0,1119.0,799.0
463,nuevo,15,3999.0,799.0,320.0,5599.0,10,5599.0,3679.0,799.0
464,nuevo,43,5799.0,1249.0,243.37,11714.0,8,11716.59,2952.59,1249.0
465,nuevo,15,6899.0,1200.0,569.9,9748.5,3,9748.5,2339.8,1200.0
466,nuevo,15,3999.0,800.0,319.9,5598.5,6,5598.0,2399.5,800.0
467,nuevo,35,4699.0,250.0,228.81,8258.2,17,8255.16,3910.96,250.0
468,nuevo,35,4699.0,250.0,228.81,8258.2,17,8255.16,3910.96,250.0
469,nuevo,20,10500.0,0.0,525.0,10500.0,6,10500.0,2625.0,0.0
470,nuevo,15,3999.0,799.0,320.0,5599.0,5,5599.0,2079.0,799.0
472,nuevo,35,3799.0,499.0,198.0,7429.0,5,7421.0,1291.0,499.0
473,nuevo,35,3799.0,499.0,198.0,7429.0,4,7423.0,1093.0,499.0
474,nuevo,20,7199.0,1000.0,309.95,7199.0,5,7198.8,2239.8,1000.0
475,nuevo,43,5799.0,748.0,270.12,12363.0,14,12364.56,4259.56,748.0
476,nuevo,43,5199.0,999.0,224.65,10659.0,10,10656.2,3020.85,999.0
477,nuevo,26,3999.0,799.0,233.85,6879.0,8,6884.95,2435.95,799.0
478,nuevo,43,7199.0,1499.0,304.88,14609.0,9,14608.4,3938.04,1499.0
479,nuevo,15,3999.0,799.0,320.0,5599.0,9,5599.0,3359.0,799.0
480,nuevo,26,3999.0,799.0,233.85,6879.0,5,6814.4,1734.4,799.0
481,nuevo,43,3999.0,799.0,171.16,8159.0,16,8146.4,3366.4,799.0
482,nuevo,43,6199.0,568.0,301.19,13519.3,25,13499.86,7796.5599999999995,568.0
484,nuevo,26,5599.0,1250.0,317.81,9513.1,13,9511.01,5063.72,1250.0
487,nuevo,35,3999.0,799.0,192.0,7519.0,10,7519.0,2527.0,799.0
489,nuevo,35,4199.0,499.0,174.43,6604.0,8,6604.0,1720.01,499.0
490,nuevo,20,6999.0,1500.0,274.95,6999.0,10,7007.55,3974.5499999999997,1500.0
491,nuevo,43,4999.0,499.0,240.7,10849.0,4,10848.1,1221.1,499.0
492,nuevo,43,4999.0,499.0,240.7,10849.0,4,10848.1,1221.1,499.0
493,nuevo,15,6199.0,1300.0,489.9,8648.5,9,8577.699999999999,5219.2,1300.0
495,nuevo,20,6999.0,1000.0,299.95,6999.0,12,6999.0,4299.45,1000.0
496,nuevo,15,3999.0,500.0,349.9,5748.5,6,5748.0,2249.5,500.0
497,nuevo,35,3999.0,799.0,192.0,7519.0,3,7519.0,1183.0,799.0
499,nuevo,35,6199.0,799.0,254.57,9709.0,3,9708.14,1308.1399999999999,799.0
500,nuevo,20,7999.0,1499.0,325.0,7999.0,6,7999.0,3124.0,1499.0
501,nuevo,26,5799.0,1300.0,328.77,9848.1,1,9848.1,1300.0,1300.0
503,nuevo,43,8299.0,999.0,280.12,13044.0,1,13044.0,999.0,999.0
504,nuevo,43,6499.0,1249.0,280.81,13324.0,4,13326.43,2091.43,1249.0
505,nuevo,43,5299.0,999.0,230.0,10889.0,2,10889.0,1229.0,999.0
506,nuevo,43,6499.0,1249.0,280.81,13324.0,44,13348.210000000001,13348.210000000001,1249.0
507,nuevo,20,6999.0,750.0,312.45,6999.0,3,6999.9,1374.9,750.0
509,nuevo,43,6199.0,1249.0,264.77,12634.0,6,12632.849999999999,2572.85,1249.0
511,nuevo,43,3799.0,799.0,160.47,7699.0,20,7699.0,3847.93,799.0
513,nuevo,35,6199.0,1249.0,297.0,11644.0,18,11644.0,6298.0,1249.0
515,nuevo,43,5299.0,999.0,230.0,10889.0,1,10889.0,999.0,999.0
517,nuevo,26,8299.0,999.0,449.23,12679.0,2,12678.23,1448.23,999.0
518,nuevo,26,8299.0,999.0,670.0,18418.99,4,18418.99,3009.0,999.0
522,nuevo,26,3999.0,799.0,233.85,6879.0,5,6862.849999999999,1734.4,1750.55
527,nuevo,35,6399.0,1249.0,309.0,12064.0,27,12064.0,9283.0,4957.0
528,nuevo,26,6399.0,1249.0,376.35,11034.0,25,11036.45,10281.400000000001,6894.25
529,nuevo,26,3999.0,799.0,233.85,6879.0,7,6878.25,2202.1,1266.85
530,nuevo,35,10999.0,600.0,490.24,17758.35,10,17744.27,5012.16,3550.24
531,nuevo,43,5499.0,1249.0,227.33,11024.0,39,10796.86,9660.210000000001,3488.32
532,nuevo,26,3799.0,799.0,219.23,6499.0,25,6279.75,5841.29,3464.38
533,nuevo,43,6399.0,639.9,308.05,13885.83,3,13885.880000000001,1256.0,947.95
534,nuevo,26,6499.0,1250.0,384.0,11223.1,27,11205.9,11205.9,4706.0
535,nuevo,35,8499.0,1999.0,390.0,15649.0,19,15639.0,9019.0,6679.0
536,nuevo,43,3799.0,799.0,160.0,7699.0,44,7713.57,7713.57,2099.0
537,nuevo,15,3999.0,399.5,359.95,5798.75,7,6098.5,2559.2,759.45
539,nuevo,43,3799.0,379.9,181.81,8197.83,21,8205.31,4016.1,2379.81
540,nuevo,43,3999.0,399.9,192.51,8677.83,20,8673.42,4057.5899999999997,2328.43
541,nuevo,43,5299.0,999.0,230.0,10889.0,44,10889.0,10889.0,2839.0
542,nuevo,35,5899.0,999.0,294.0,11289.0,30,11289.0,9525.0,4233.0
