folio,pagoMontoEsperado,pagoMontoRecibido,montoFijadoPagado,montoEsperadoPagado,folio,precio,anticipo,semanal,total
472,7421.0,499.0,7421.0,1291.0,36,3799.0,499.0,198.0,7429.0
473,7423.0,499.0,7423.0,1093.0,36,3799.0,499.0,198.0,7429.0
474,7198.8,1000.0,7198.8,2239.8,21,7199.0,1000.0,309.95,7199.0
475,12364.56,748.0,12364.56,4259.56,44,5799.0,748.0,270.12,12363.0
476,10656.2,999.0,10656.2,3020.85,44,5199.0,999.0,224.65,10659.0
477,6884.95,799.0,6884.95,2435.95,27,3999.0,799.0,233.85,6879.0
478,14608.4,1499.0,14608.4,3938.04,44,7199.0,1499.0,304.88,14609.0
479,5599.0,799.0,5599.0,3359.0,16,3999.0,799.0,320.0,5599.0
480,6814.4,799.0,6814.4,1734.4,27,3999.0,799.0,233.85,6879.0
481,8146.4,799.0,8146.4,3366.4,44,3999.0,799.0,171.16,8159.0
482,13499.86,568.0,13499.86,7796.5599999999995,44,6199.0,568.0,301.19,13519.3
484,9511.01,1250.0,9511.01,5063.72,27,5599.0,1250.0,317.81,9513.1
487,7519.0,799.0,7519.0,2527.0,36,3999.0,799.0,192.0,7519.0
489,6604.0,499.0,6604.0,1720.01,36,4199.0,499.0,174.43,6604.0
490,7007.55,1500.0,7007.55,3974.5499999999997,21,6999.0,1500.0,274.95,6999.0
491,10848.1,499.0,10848.1,1221.1,44,4999.0,499.0,240.7,10849.0
492,10848.1,499.0,10848.1,1221.1,44,4999.0,499.0,240.7,10849.0
493,8577.699999999999,1300.0,8577.699999999999,5219.2,16,6199.0,1300.0,489.9,8648.5
495,6999.0,1000.0,6999.0,4299.45,21,6999.0,1000.0,299.95,6999.0
496,5748.0,500.0,5748.0,2249.5,16,3999.0,500.0,349.9,5748.5
497,7519.0,799.0,7519.0,1183.0,36,3999.0,799.0,192.0,7519.0
499,9708.14,799.0,9708.14,1308.1399999999999,36,6199.0,799.0,254.57,9709.0
500,7999.0,1499.0,7999.0,3124.0,21,7999.0,1499.0,325.0,7999.0
501,9848.1,1300.0,9848.1,1300.0,27,5799.0,1300.0,328.77,9848.1
503,13044.0,999.0,13044.0,999.0,44,8299.0,999.0,280.12,13044.0
504,13326.43,1249.0,13326.43,2091.43,44,6499.0,1249.0,280.81,13324.0
505,10889.0,999.0,10889.0,1229.0,44,5299.0,999.0,230.0,10889.0
506,13348.210000000001,1249.0,13348.210000000001,13348.210000000001,44,6499.0,1249.0,280.81,13324.0
507,6999.9,750.0,6999.9,1374.9,21,6999.0,750.0,312.45,6999.0
509,12632.849999999999,1249.0,12632.849999999999,2572.85,44,6199.0,1249.0,264.77,12634.0
511,7699.0,799.0,7699.0,3847.93,44,3799.0,799.0,160.47,7699.0
513,11644.0,1249.0,11644.0,6298.0,36,6199.0,1249.0,297.0,11644.0
515,10889.0,999.0,10889.0,999.0,44,5299.0,999.0,230.0,10889.0
517,12678.23,999.0,12678.23,1448.23,27,8299.0,999.0,449.23,12679.0
518,18418.99,999.0,18418.99,3009.0,27,8299.0,999.0,670.0,18418.99
522,6862.849999999999,1750.55,6862.849999999999,1734.4,27,3999.0,799.0,233.85,6879.0
527,12064.0,4957.0,12064.0,9283.0,36,6399.0,1249.0,309.0,12064.0
528,11036.45,6894.25,11036.45,10281.400000000001,27,6399.0,1249.0,376.35,11034.0
529,6878.25,1266.85,6878.25,2202.1,27,3999.0,799.0,233.85,6879.0
530,17744.27,3550.24,17744.27,5012.16,36,10999.0,600.0,490.24,17758.35
531,10796.86,3488.32,10796.86,9660.210000000001,44,5499.0,1249.0,227.33,11024.0
532,6279.75,3464.38,6279.75,5841.29,27,3799.0,799.0,219.23,6499.0
533,13885.880000000001,947.95,13885.880000000001,1256.0,44,6399.0,639.9,308.05,13885.83
534,11205.9,4706.0,11205.9,11205.9,27,6499.0,1250.0,384.0,11223.1
535,15639.0,6679.0,15639.0,9019.0,36,8499.0,1999.0,390.0,15649.0
536,7713.57,2099.0,7713.57,7713.57,44,3799.0,799.0,160.0,7699.0
537,6098.5,759.45,6098.5,2559.2,16,3999.0,399.5,359.95,5798.75
539,8205.31,2379.81,8205.31,4016.1,44,3799.0,379.9,181.81,8197.83
540,8673.42,2328.43,8673.42,4057.5899999999997,44,3999.0,399.9,192.51,8677.83
541,10889.0,2839.0,10889.0,10889.0,44,5299.0,999.0,230.0,10889.0
542,11289.0,4233.0,11289.0,9525.0,36,5899.0,999.0,294.0,11289.0
543,10032.0,999.0,10032.0,2547.0,36,5299.0,999.0,258.0,10029.0
544,9578.93,3337.74,9578.93,7923.05,44,5899.0,624.5,208.53,9591.15
545,8229.57,2591.58,8229.57,3854.62,44,3799.0,379.9,182.88,8243.83
546,7009.0,1897.0,7009.0,2779.0,36,3799.0,799.0,180.0,7099.0
547,5599.0,1119.0,5599.0,1119.0,16,3999.0,799.0,320.0,5599.0
548,5298.97,3199.0,5298.97,3199.0,16,3799.0,799.0,300.0,5298.97
550,11497.24,3399.64,11497.24,6398.92,36,5999.0,1000.0,299.94,11497.9
551,14770.9,4706.3,14770.9,12563.800000000001,44,9199.0,1249.0,314.3,14764.0
552,8670.91,785.41,8670.91,2132.49,44,3999.0,399.9,192.51,8677.83
553,7736.32,1393.8,7736.32,2011.8799999999999,51,7738.0,0.0,154.76,7738.0
554,7701.82,1279.0,7701.82,2241.82,44,3799.0,799.0,160.0,7699.0
555,13028.410000000002,3199.01,13028.410000000002,5798.120000000001,44,5999.0,599.9,288.79,13017.83
556,13809.15,5114.25,13809.15,13809.15,27,9099.0,1249.5,483.05,13808.7
557,6500.61,799.0,6500.61,2552.84,27,3799.0,799.0,219.23,6499.0
558,6597.870000000001,2074.2000000000003,6597.870000000001,2073.7200000000003,36,3999.0,0.0,188.52,6598.35
559,5898.75,589.95,5898.75,4719.2,21,5899.0,0.0,294.95,5899.0
560,9099.0,4094.5499999999997,9099.0,7734.15,21,9099.0,0.0,454.95,9099.0
561,8209.0,2929.0,8209.0,8209.0,16,5799.0,999.0,480.0,8199.0
562,13882.03,639.9,13882.03,2180.15,44,6399.0,639.9,308.05,13885.83
563,18588.56,8117.04,18588.56,14480.44,44,9499.0,2499.0,374.42,18599.0
564,11213.0,4965.0,11213.0,8374.0,36,5999.0,1249.0,285.0,11224.0
565,13015.410000000002,1757.48,13015.410000000002,4354.17,44,5999.0,599.9,288.79,13017.83
566,10889.02,3299.0,10889.02,3299.0,44,5299.0,999.0,230.0,10889.02
567,5299.0,2899.0,5299.0,3499.0,16,3799.0,799.0,300.0,5299.0
568,5686.95,2578.36,5686.95,5686.95,19,3799.0,799.0,283.33,5899.0
569,8229.6,4540.05,8229.6,8229.6,21,8199.0,0.0,409.95,8199.0
570,7099.0,2959.0,7099.0,7099.0,36,3799.0,799.0,180.0,7099.0
571,13015.730000000001,4067.27,13015.730000000001,6953.280000000001,44,5999.0,599.9,288.79,13017.83
572,6999.0,2599.0,6999.0,6999.0,16,4999.0,999.0,400.0,6999.0
575,5838.7,1236.3,5838.7,2073.1,27,3799.0,399.5,209.2,5838.7
576,6875.84,2379.2,6875.84,4377.66,27,3799.0,379.9,249.86,6876.19
577,8978.75,4859.55,8978.75,8978.75,16,6399.0,1249.0,514.9,8972.45
578,15498.88,6150.16,15498.88,14969.25,27,9099.0,2000.0,518.77,15488.1
579,9250.27,1394.52,9250.27,9250.27,27,5299.0,999.0,314.23,9169.0
580,5160.37,2057.42,5160.37,5160.37,21,5399.0,624.5,238.73,5399.0
581,7699.88,2243.76,7699.88,5613.1,44,3799.0,799.0,160.47,7699.0
582,13311.410000000002,4058.2400000000002,13311.410000000002,7988.460000000001,44,6499.0,1249.5,280.79,13323.35
583,11901.150000000001,1878.7800000000002,11901.150000000001,4520.700000000001,44,5499.0,549.9,264.72,11932.83
584,12173.02,4298.7699999999995,12173.02,6584.47,44,5999.0,1249.0,254.07,12174.03
585,11429.05,5032.0,11429.05,6778.0,36,6099.0,1249.0,291.0,11434.05
